,Hospital,City,State,ZIP Code,Score,Score URL
388,Sacred Heart Health System-Bay Medical Center,Panama City,FL,32401-3600,30.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
389,University Hospital and Medical Center,Tamarac,FL,33321-2996,30.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
390,Lake Wales Medical Center,Lake Wales,FL,33853-4256,30.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
391,West Florida Hospital,Pensacola,FL,32514-6088,29.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
392,Central Florida Regional Hospital,Sanford,FL,32771-6764,29.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
393,Brandon Regional Hospital,Brandon,FL,33511-5779,28.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
394,Coral Gables Hospital,Coral Gables,FL,33134-6914,27.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
395,Fawcett Memorial Hospital,Port Charlotte,FL,33952-6765,26.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
396,Oak Hill Hospital,Brooksville,FL,34613-5409,26.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
397,Orange Park Medical Center,Orange Park,FL,32073-5156,25.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
398,Parrish Medical Center,Titusville,FL,32796-2163,23.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
399,St. Petersburg General Hospital,Saint Petersburg,FL,33710-1629,23.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
400,Largo Medical Center,Largo,FL,33770-3133,22.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
401,Lawnwood Regional Medical Center and Heart Institute,Fort Pierce,FL,34950-4803,22.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
402,Ocala Regional Medical Center,Ocala,FL,34471-6500,22.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
403,Fort Walton Beach Medical Center,Fort Walton Beach,FL,32547-6795,21.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
404,Good Samaritan Medical Center-West Palm Beach,West Palm Beach,FL,33401-3499,21.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
405,Osceola Regional Medical Center,Kissimmee,FL,34741-4996,21.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
406,JFK Medical Center,Atlantis,FL,33462-1197,20.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
407,Medical Center of Trinity,Trinity,FL,34655-1808,19.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
408,Palmetto General Hospital,Hialeah,FL,33016-1898,17.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
409,Citrus Memorial Health System-Inverness,Inverness,FL,34452-4754,17.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
410,North Shore Medical Center-Miami,Miami,FL,33150-2098,16.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
411,Manatee Memorial Hospital,Bradenton,FL,34208-1000,14.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
412,Emory St. Joseph's Hospital,Atlanta,GA,30342-1701,68.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
413,Emory University Hospital,Atlanta,GA,30322,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
414,Northeast Georgia Medical Center,Gainesville,GA,30501-3899,63.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
415,Piedmont Athens Regional Medical Center,Athens,GA,30606-2797,58.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
416,Memorial Health University Medical Center,Savannah,GA,31404-6283,57.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
417,Piedmont Atlanta Hospital,Atlanta,GA,30309-1281,55.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
418,Gwinnett Medical Center,Lawrenceville,GA,30046-7694,54.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
419,Piedmont Fayette Hospital,Fayetteville,GA,30214-4526,54.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
420,John D. Archbold Memorial Hospital,Thomasville,GA,31792-6614,53.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
421,Emory University Hospital Midtown,Atlanta,GA,30308-2247,53.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
422,WellStar Douglas Hospital,Douglasville,GA,30134-2282,52.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
423,Northside Hospital-Atlanta,Atlanta,GA,30342-1611,52.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
424,WellStar Paulding Hospital,Hiram,GA,30141,52.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
425,St. Joseph's Hospital-Savannah,Savannah,GA,31419-1791,52.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
426,WellStar West Georgia Medical Center,Lagrange,GA,30240-4131,51.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
427,Augusta University Medical Center,Augusta,GA,30912-0004,50.5,/best-hospitals/area/co/national-jewish-health-6840315
428,Emory Johns Creek Hospital,Johns Creek,GA,30097-5775,50.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
429,Piedmont Newnan Hospital,Newnan,GA,30265-1618,50.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
430,Candler Hospital,Savannah,GA,31405-6015,49.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
431,Northside Hospital-Forsyth,Cumming,GA,30041-7659,47.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
432,WellStar Kennestone Hospital,Marietta,GA,30060-1148,47.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
433,Houston Medical Center,Warner Robins,GA,31093-3431,45.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
434,University Hospital-Augusta,Augusta,GA,30901-2629,45.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
435,Tift Regional Medical Center,Tifton,GA,31794-3648,43.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
436,Grady Memorial Hospital-Atlanta,Atlanta,GA,30303-3031,43.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
437,Floyd Medical Center,Rome,GA,30165-5621,42.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
438,Navicent Health Medical Center,Macon,GA,31201-2155,42.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
439,WellStar Atlanta Medical Center,Atlanta,GA,30312-1212,41.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
440,Gordon Hospital,Calhoun,GA,30701-2082,41.5,/best-hospitals/area/co/national-jewish-health-6840315/pulm
441,Northside Hospital-Cherokee,Canton,GA,30115-8015,39.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
442,WellStar North Fulton Hospital,Roswell,GA,30076-3899,39.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
443,St. Mary's Health Care System-Athens,Athens,GA,30606-3791,39.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
444,Hamilton Medical Center,Dalton,GA,30720-2529,37.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
445,Piedmont Henry Hospital,Stockbridge,GA,30281-5099,37.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
446,Redmond Regional Medical Center,Rome,GA,30165-1415,36.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
447,Phoebe Putney Memorial Hospital,Albany,GA,31701-1943,35.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
448,WellStar Spalding Regional Hospital,Griffin,GA,30224-4294,34.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
449,Piedmont Columbus Regional Midtown,Columbus,GA,31901-1527,33.9,/best-hospitals/area/co/national-jewish-health-6840315/pul
450,Southeast Georgia Health System Brunswick Campus,Brunswick,GA,31520-4722,32.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
451,Tanner Medical Center-Carrollton,Carrollton,GA,30117-3818,32.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
452,WellStar Cobb Hospital,Austell,GA,30106-1121,31.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
453,St. Francis Hospital-Columbus,Columbus,GA,31904-6878,30.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
454,Eastside Medical Center,Snellville,GA,30078-2195,29.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
455,Piedmont Rockdale Hospital,Conyers,GA,30012-3877,28.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
456,South Georgia Medical Center,Valdosta,GA,31602-1735,27.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
457,Doctor's Hospital-Augusta,Augusta,GA,30909-6426,26.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
458,Memorial Satilla Health-Waycross,Waycross,GA,31501-6357,20.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
459,Southern Regional Medical Center,Riverdale,GA,30274-2615,19.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
460,Coliseum Medical Centers,Macon,GA,31217-3871,16.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
461,Emory Decatur Hospital,Decatur,GA,30033-5995,14.0,/best-hospitals/area/co/national-jewish-health-6840315/pul
462,Queen's Medical Center,Honolulu,HI,96813-2499,69.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
463,Kaiser Permanente Moanalua Medical Center,Honolulu,HI,96819-1469,63.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
464,Straub Medical Center,Honolulu,HI,96813-3097,63.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
465,Kuakini Medical Center,Honolulu,HI,96817-2381,58.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
466,Adventist Health Castle,Kailua,HI,96734-4454,57.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
467,Pali Momi Medical Center,Aiea,HI,96701-4713,55.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
468,Maui Memorial Medical Center,Wailuku,HI,96793-2581,39.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
469,Hilo Medical Center,Hilo,HI,96720-2089,38.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
470,St. Luke's Regional Medical Center,Boise,ID,83712-6241,76.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
471,Portneuf Medical Center,Pocatello,ID,83201-5175,58.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
472,St. Luke's Magic Valley Medical Center,Twin Falls,ID,83301-5810,58.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
473,St. Alphonsus Regional Medical Center,Boise,ID,83706-1309,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
474,St. Alphonsus Medical Center-Nampa,Nampa,ID,83686-6008,55.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
475,Kootenai Health-Coeur D'Alene,Coeur D'Alene,ID,83814-2677,53.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
476,Eastern Idaho Regional Medical Center,Idaho Falls,ID,83404-7533,33.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
477,Northwestern Memorial Hospital,Chicago,IL,60611-2908,77.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
478,OSF Healthcare St. Francis Medical Center,Peoria,IL,61637-0001,70.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
479,Amita Saints Mary and Elizabeth Medical Center Chicago,Chicago,IL,60622-3086,67.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" p"
480,Loyola University Medical Center,Maywood,IL,60153-3328,67.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
481,Northwestern Medicine Lake Forest Hospital,Lake Forest,IL,60045-1696,66.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
482,NorthShore University HealthSystem-Metro Chicago,Evanston,IL,60201-1613,66.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
483,Advocate Good Samaritan Hospital,Downers Grove,IL,60515-1590,65.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
484,Advocate Lutheran General Hospital,Park Ridge,IL,60068-1174,65.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
485,Edward Hospital,Naperville,IL,60540-7499,65.0,/best-hospitals/area/co/national-jewish-health-6840315/pulm
486,University of Chicago Medical Center,Chicago,IL,60637-1443,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
487,Rush University Medical Center,Chicago,IL,60612-3833,63.2,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals/a"
488,Carle Foundation Hospital,Urbana,IL,61801-2529,62.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
489,Advocate Christ Medical Center,Oak Lawn,IL,60453-2699,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
490,Elmhurst Hospital,Elmhurst,IL,60126-5658,60.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
491,Advocate Sherman Hospital,Elgin,IL,60123-2300,60.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
492,Advocate BroMenn Medical Center,Normal,IL,61761-3558,60.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
493,Amita Health Adventist Medical Center-Hinsdale,Hinsdale,IL,60521-3890,60.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
494,Northwestern Medicine Central DuPage Hospital,Winfield,IL,60190,59.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
495,Riverside Medical Center-Kankakee,Kankakee,IL,60901-2901,59.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
496,Amita Health Elk Grove Village,Elk Grove Village,IL,60007-3397,59.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
497,Memorial Hospital-Belleville,Belleville,IL,62226-5399,58.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
498,Northwestern Medicine Delnor Hospital,Geneva,IL,60134-4200,58.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
499,UnityPoint Health-Peoria,Peoria,IL,61636-4310,57.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
500,Advocate Good Shepherd Hospital,Barrington,IL,60010-1919,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
501,Memorial Medical Center-Springfield,Springfield,IL,62781-0001,57.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
502,OSF St. Anthony Medical Center,Rockford,IL,61108-2425,57.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
503,Amita Health St. Joseph Medical Center Joliet,Joliet,IL,60435-8200,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
504,OSF St. Joseph Medical Center,Bloomington,IL,61701-4323,56.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
505,MercyHealth Hospital-Rockton Avenue,Rockford,IL,61103-3655,56.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
506,Centegra Hospital-McHenry,McHenry,IL,60050-8409,56.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
507,Advocate Condell Medical Center,Libertyville,IL,60048-3199,54.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
508,SSM Health St. Mary's Hospital Centralia,Centralia,IL,62801-3056,53.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
509,Amita Health Adventist La Grange Medical Center,La Grange,IL,60525-2600,53.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
510,Northwest Community Hospital,Arlington Heights,IL,60005-2392,52.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
511,Swedish Covenant Hospital,Chicago,IL,60625-3661,52.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
512,SSM Health Good Samaritan Hospital,Mount Vernon,IL,62864-2899,52.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
513,HSHS St. John's Hospital,Springfield,IL,62769-0002,51.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
514,Passavant Area Hospital,Jacksonville,IL,62650-1136,51.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
515,UnityPoint Health-Trinity Rock Island,Rock Island,IL,61201-5393,50.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
516,Blessing Hospital,Quincy,IL,62305-7005,50.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
517,Alton Memorial Hospital,Alton,IL,62002-6722,50.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
518,Loyola Medicine Gottlieb Memorial Hospital,Melrose Park,IL,60160-1612,50.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
519,Sarah Bush Lincoln Health Center,Mattoon,IL,61938-9253,50.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
520,Amita Health Resurrection Medical Center Chicago,Chicago,IL,60631-3746,49.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
521,Amita Health Adventist Medical Center Bolingbrook,Bolingbrook,IL,60440-4906,48.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
522,Swedish American Hospital,Rockford,IL,61104-2315,48.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
523,Advocate Trinity Hospital,Chicago,IL,60617-3909,48.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
524,Presence St. Francis Hospital,Evanston,IL,60202-3399,47.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
525,OSF Sacred Heart Medical Center,Danville,IL,61832-3788,47.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
526,Presence St. Mary's Hospital,Kankakee,IL,60901-3661,47.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
527,Mercy Hospital and Medical Center,Chicago,IL,60616-2333,46.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
528,Amita Health Hoffman Estates,Hoffman Estates,IL,60169-1019,45.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
529,HSHS St. Elizabeth's Hospital,O'Fallon,IL,62269,45.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
530,Amita Health St. Joseph Hospital Chicago,Chicago,IL,60657-6274,45.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
531,HSHS St. Mary's Hospital,Decatur,IL,62521-3883,44.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
532,Rush-Copley Medical Center,Aurora,IL,60504-7222,43.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
533,Advocate South Suburban Hospital,Hazel Crest,IL,60429-0989,43.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
534,HSHS St. Anthony's Memorial Hospital,Effingham,IL,62401-2099,42.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
535,Morris Hospital and Healthcare Centers,Morris,IL,60450-1497,42.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
536,Genesis Medical Center-Silvis,Silvis,IL,61282-1893,42.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
537,Decatur Memorial Hospital,Decatur,IL,62526-4192,41.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
538,Silver Cross Hospital,New Lenox,IL,60451-9509,41.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
539,Vista Medical Center East,Waukegan,IL,60085-2161,41.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
540,OSF Heart of Mary Medical Center,Urbana,IL,61801-2396,40.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
541,Little Company of Mary Hospital and Health Care Centers,Evergreen Park,IL,60805-2795,40.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
542,Amita Health Mercy Medical Center Aurora,Aurora,IL,60506-1449,39.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
543,UnityPoint Health-Proctor,Peoria,IL,61614-5069,38.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
544,FHN Memorial Hospital,Freeport,IL,61032-4899,38.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
545,Loyola Medicine MacNeal Hospital,Berwyn,IL,60402-0715,37.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
546,Memorial Hospital of Carbondale,Carbondale,IL,62901-1467,37.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
547,Holy Cross Hospital-Chicago,Chicago,IL,60629-1882,37.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
548,Anderson Hospital,Maryville,IL,62062-8500,36.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
549,Ingalls Memorial Hospital,Harvey,IL,60426-3591,36.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
550,Herrin Hospital,Herrin,IL,62948-3631,34.9,/best-hospitals/area/co/national-jewish-health-6840315/pulm
551,Palos Community Hospital,Palos Heights,IL,60463-0930,33.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
552,MetroSouth Medical Center,Blue Island,IL,60406-2470,31.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
553,Franciscan Health Olympia Fields,Olympia Fields,IL,60461-1010,30.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
554,Community First Medical Center,Chicago,IL,60634-4403,22.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix="
555,Indiana University Health West Hospital,Avon,IN,46123-7085,66.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
556,Indiana University Health Medical Center,Indianapolis,IN,46202-5149,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
557,Goshen Hospital,Goshen,IN,46526-4899,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
558,Deaconess Hospital,Evansville,IN,47710-1658,59.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
559,St. Vincent Indianapolis Hospital,Indianapolis,IN,46260-1991,59.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
560,Indiana University Health Ball Memorial Hospital,Muncie,IN,47303-3499,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
561,Indiana University Health Bloomington Hospital,Bloomington,IN,47403-2317,58.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
562,Indiana University Health Arnett Hospital,Lafayette,IN,47905-8764,58.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
563,Eskenazi Health-Indianapolis,Indianapolis,IN,46202,55.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
564,Reid Health-Richmond,Richmond,IN,47374-1157,54.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
565,Parkview Regional Medical Center,Fort Wayne,IN,46845-1701,53.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
566,Memorial Hospital of South Bend,South Bend,IN,46601-1033,51.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
567,Hendricks Regional Health-Danville,Danville,IN,46122-1948,50.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
568,Franciscan Health Lafayette East,Lafayette,IN,47905-4972,48.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
569,St. Mary Medical Center-Hobart,Hobart,IN,46342-6699,48.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
570,Columbus Regional Hospital,Columbus,IN,47201-5360,47.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
571,Elkhart General Hospital,Elkhart,IN,46514-2499,47.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
572,Community Hospital of Anderson and Madison County,Anderson,IN,46011-3453,46.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
573,King's Daughters' Health-Madison,Madison,IN,47250-3357,46.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
574,Good Samaritan Hospital-Vincennes,Vincennes,IN,47591-1038,46.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
575,Memorial Hospital and Health Care Center,Jasper,IN,47546-2516,45.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
576,Mishawaka Medical Center,Mishawaka,IN,46545-1469,45.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
577,Clark Memorial Hospital,Jeffersonville,IN,47130-3743,44.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
578,Community Hospital-Munster,Munster,IN,46321-2959,44.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
579,Baptist Health Floyd,New Albany,IN,47150-4997,44.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
580,Hancock Regional Hospital,Greenfield,IN,46140-1270,43.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
581,St. Vincent Anderson Hospital,Anderson,IN,46016-4339,43.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
582,St. Vincent Medical Center of Evansville,Evansville,IN,47714-0541,43.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
583,Lutheran Hospital of Indiana,Fort Wayne,IN,46804-4140,43.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
584,Highpoint Health-Lawrenceburg,Lawrenceburg,IN,47025-2751,43.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
585,Marion General Hospital-Indiana,Marion,IN,46952-2690,42.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
586,Methodist Hospitals,Gary,IN,46402-6099,41.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
587,La Porte Hospital,La Porte,IN,46350-3201,40.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
588,Franciscan Health Indianapolis,Indianapolis,IN,46237-8601,39.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
